num_frijol,germino,fecha_germinacion,tipo_frijol,tipo_tierra,masa_semilla,altura1,altura2,altura3,altura4,altura5_1,alturaa5_2,altura5_3,herbivoria,Grado_herbivoria,Cambio_color,Grado_coloracion,Enfermedad,Maleza,peso_seco,longitud_raiz_colonizada
48,no,NA,peruano,inoculada,"0,3094",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
49,no,NA,peruano,inoculada,"0,1849",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
50,no,NA,peruano,inoculada,"0,3766",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
51,no,NA,negro,campus,"0,2229",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,si,NA,NA
52,no,NA,negro,campus,"0,1578",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,si,NA,NA
53,no,NA,negro,campus,"0,2666",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,si,NA,NA
54,no,NA,negro,campus,"0,2377",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,si,NA,NA
55,no,NA,negro,campus,"0,256",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,si,NA,NA
56,no,NA,peruano,campus,"0,3203",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,si,NA,NA
57,no,NA,peruano,campus,"0,3978",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,si,NA,NA
58,no,NA,peruano,campus,"0,3395",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,si,NA,NA
59,no,NA,peruano,campus,"0,25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,si,NA,NA
60,si,9,peruano,campus,"0,2848",8,"10,4","11,6","12,5","13,6","12,4",12,si,3,NA,NA,si,si,"1,0227","23,50%"
61,si,3,negro,esteril,"0,2209","7,5","10,3","11,4","9,8","14,4",11,11,NA,NA,si,2,si,no,"0,68",NA
62,no,NA,negro,esteril,"0,2227",NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,no,no,NA,NA
63,si,9,negro,esteril,"0,1986","3,3","5,4","8,8","6,3","11,5",10,10,si,1,no,NA,si,no,"0,04",NA
64,no,NA,negro,esteril,"0,2052",NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,no,si,NA,NA
